Año,mes,Toneladas,precio_promedio
2019,Enero,21718.8500153,772.6802062988281
2019,Febrero,17933.9000058,798.4447784423828
2019,Marzo,20840.3999991,871.4064737955729
2019,Abril,17516.3000004,1136.4999389648438
2019,Mayo,23682.0499766,1056.201806640625
2019,Junio,21918.9000081,1109.6309051513672
2019,Julio,25005.6999377,995.9086303710938
2019,Agosto,28274.5999626,843.3704962226562
2019,Septiembre,24041.69997418,809.0946502685547
2019,Octubre,25030.5000067,855.9904632568359
2019,Noviembre,25732.0499813,813.222216796875
2019,Diciembre,21755.9499792,619.2781219482422
2020,Enero,22191.9500039,630.8554840087891
2020,Febrero,20583.2000127,604.4753295898438
2020,Marzo,21349.44998442,787.8590698242188
2020,Abril,18575.600002,758.4833679199219
2020,Mayo,16394.6999965,989.17255859375
2020,Junio,18366.1499875,1081.9687957763672
2020,Julio,21811.5499938,896.6017150878906
2020,Agosto,18928.7999778,725.537939453125
2020,Septiembre,21434.0499693,646.5885467529297
2020,Octubre,20547.6499954,534.29990234375
2020,Noviembre,20764.0500143,483.9154586791992
2020,Diciembre,19572.0500169,479.8976287841797
2021,Enero,15497.4499773,616.3035888671875
2021,Febrero,19432.5500142,814.5052032470703
2021,Marzo,22557.7000204,1198.7131652832031
2021,Abril,20298.599979,1197.8577270507812
2021,Mayo,21566.5999493,1295.604024251302
2021,Junio,24077.1000242,831.8810424804688
2021,Julio,24269.149964,842.6524780273437
2021,Agosto,22765.3499796,679.4407653808594
2021,Septiembre,24679.399983,772.7275085449219
2021,Octubre,26982.3999909,899.1229248046875
2021,Noviembre,26874.5000169,1070.8812408447266
2021,Diciembre,27383.0499934,1491.8671875
2022,Enero,22208.650012,2084.7070068359376
2022,Febrero,21877.0500149,2577.6156005859375
2022,Marzo,22855.450008,2431.2433471679688
2022,Abril,22601.099988,2104.3329833984376
2022,Mayo,27605.4000334,1078.2254486083984
2022,Junio,29389.5500021,927.2468872070312
2022,Julio,29689.9000239,852.892822265625
2022,Agosto,28434.0000079,785.1242065429688
2022,Septiembre,28845.9500242,938.0168151855469
2022,Octubre,28159.2500154,1282.64501953125
2022,Noviembre,29102.249982,1632.2319030761719
2022,Diciembre,31985.79999602,1776.8600463867188
2023,Enero,26748.6999664,1890.910791015625
2023,Febrero,27391.0499532,1606.603515625
2023,Marzo,29632.6500286,1420.7467041015625
2023,Abril,23981.749975400002,1190.0830078125
2023,Mayo,25406.9999994,1399.0231323242188
2023,Junio,28336.44996722,1107.4383544921875
2023,Julio,25782.4000338,925.6201171875
2023,Agosto,26836.050017,1095.0416564941406
2023,Septiembre,24224.5999972,1230.1700744628906
2023,Octubre,26786.24995938,1636.3641357421875
2023,Noviembre,28101.0000009,1631.4696044921875
2023,Diciembre,28983.3500133,1495.5137939453125
2024,Enero,27643.20000332,1479.1990966796875
2024,Febrero,25885.4500153,1336.898681640625
2024,Marzo,23173.55000461,1480.2642822265625
2024,Abril,24696.4000214,1771.5041809082031
2024,Mayo,21905.750005,2360.2430419921875
2024,Junio,18817.24998801,2380.166015625
2024,Julio,24064.19997799,2650.7274780273438
2024,Agosto,22920.12999102,1942.1493530273438
2024,Septiembre,23359.6999866,1520.66162109375
2024,Octubre,26605.250041,1239.6697998046875
2024,Noviembre,26773.95001272,1221.1394348144531
2024,Diciembre,25652.64999411,1195.6503601074219
2025,Enero,24008.7999942,1316.339697265625
2025,Febrero,19728.5499924,1174.059829711914
2025,Marzo,18561.849996,1447.0641845703126
2025,Abril,18527.5500002,1735.5377197265625
2025,Mayo,20906.0000009,1260.3309631347656
2025,Junio,22462.7000572,842.9754638671875
2025,Julio,25481.8000148,781.9131469726562
2025,Agosto,23978.6499856,623.0187744140625
2025,Septiembre,21989.7500423,578.5125732421875
2025,Octubre,27194.3500174,565.2350540161133
2025,Noviembre,24091.499975,787.1421875
2025,Diciembre,27685.5499884,893.2109985351562
